TIMESTAMP (TS, );EM02;EM03;EM05;EM06;EM07;EM08;EM09;EM10;EM12;EM13;EM15;EM16
2012-09-06 00:00:00;;;;;;;;0.0;;;;
2012-09-06 06:00:00;;;;;;;;0.0;;;;
2012-09-06 12:00:00;;;;;;;;0.0;;;;
2012-09-06 18:00:00;;;;;;;;0.0;;;;
2012-09-07 00:00:00;;;;;;;;0.0;;;;
2012-09-07 06:00:00;;;;;;;;0.0;;;;
2012-09-07 12:00:00;;;;;;;;0.0;;;;
2012-09-07 18:00:00;;;;;;;;0.0;;;;
2012-09-08 00:00:00;;;;;;;;0.0;;;;
2012-09-08 06:00:00;;;;;;;;0.0;;;;
2012-09-08 12:00:00;;;;;;;;0.0;;;;
2012-09-08 18:00:00;;;;;;;;0.0;;;;
2012-09-09 00:00:00;;;;;;;;0.0;;;;
2012-09-09 06:00:00;;;;;;;;0.0;;;;
2012-09-09 12:00:00;;;;;;;;0.0;;;;
2012-09-09 18:00:00;;;;;;;;0.0;;;;
2012-09-10 00:00:00;;;;;;;;0.0;;;;
2012-09-10 06:00:00;;;;;;;;0.0;;;;
2012-09-10 12:00:00;;;;;;;;0.0;;;;
2012-09-10 18:00:00;;;;;;;;0.0;;;;
2012-09-11 00:00:00;;;;;;;;0.0;;;;
2012-09-11 06:00:00;;;;;;;;0.0;;;;
2012-09-11 12:00:00;;;;;;;;0.0;;;;
2012-09-11 18:00:00;;;;;;;;0.0;;;;
2012-09-12 00:00:00;;;;;;;;0.0;;;;
2012-09-12 06:00:00;;;;;;;;0.0;;;;
2012-09-12 12:00:00;;;;;;;;0.0;;;;
2012-09-12 18:00:00;;;;;;;;0.0;;;;
2012-09-13 00:00:00;;;;;;;;0.0;;;;
2012-09-13 06:00:00;;;;;;;;0.0;;;;
2012-09-13 12:00:00;;;;;;;;0.0;;;;
2012-09-13 18:00:00;;;;;;;;0.0;;;;
2012-09-14 00:00:00;;;;;;;;0.0;;;;
2012-09-14 06:00:00;;;;;;;;0.0;;;;
2012-09-14 12:00:00;;;;;;;;0.0;;;;
2012-09-14 18:00:00;;;;;;;;0.0;;;;
2012-09-15 00:00:00;;;;;;;;0.0;;;;
